parameter,factor,value,recovering_well_pct,recovering_weak_pct,failed_pct,uncertain_pct,guard_disturbance_pct,guard_mixed_pct,guard_water_pct
ndvi_good_threshold,0.9,0.405,45.43,50.39,3.25,0.93,4.2,1.26,0.79
ndvi_good_threshold,1.0,0.45,45.04,50.79,3.25,0.93,4.2,1.26,0.79
ndvi_good_threshold,1.1,0.495,44.15,51.68,3.25,0.93,4.2,1.26,0.79
ndre_good_threshold,0.9,0.162,45.04,50.79,3.25,0.93,4.2,1.25,0.79
ndre_good_threshold,1.0,0.18,45.04,50.79,3.25,0.93,4.2,1.26,0.79
ndre_good_threshold,1.1,0.198,45.04,50.79,3.25,0.93,4.2,1.28,0.79
ndvi_change_good_threshold,0.9,0.081,46.46,49.37,3.25,0.93,4.2,1.67,0.79
ndvi_change_good_threshold,1.0,0.09,45.04,50.79,3.25,0.93,4.2,1.26,0.79
ndvi_change_good_threshold,1.1,0.099,43.85,51.98,3.25,0.93,4.2,0.97,0.79
bsi_good_threshold,0.9,0.045,44.84,50.99,3.25,0.93,4.2,1.26,0.79
bsi_good_threshold,1.0,0.05,45.04,50.79,3.25,0.93,4.2,1.26,0.79
bsi_good_threshold,1.1,0.055,45.21,50.61,3.25,0.93,4.2,1.26,0.79
ndvi_low_threshold,0.9,0.27,45.04,51.23,2.8,0.93,4.2,1.26,0.79
ndvi_low_threshold,1.0,0.3,45.04,50.79,3.25,0.93,4.2,1.26,0.79
ndvi_low_threshold,1.1,0.33,45.04,50.09,3.94,0.93,4.2,1.26,0.79
ndvi_change_low_threshold,0.9,0.018,45.04,50.83,3.2,0.93,4.2,1.26,0.79
ndvi_change_low_threshold,1.0,0.02,45.04,50.79,3.25,0.93,4.2,1.26,0.79
ndvi_change_low_threshold,1.1,0.022,45.04,50.72,3.31,0.93,4.2,1.26,0.79
bsi_high_threshold,0.9,0.081,45.04,50.46,3.57,0.93,4.2,1.54,0.79
bsi_high_threshold,1.0,0.09,45.04,50.79,3.25,0.93,4.2,1.26,0.79
bsi_high_threshold,1.1,0.099,45.04,51.13,2.9,0.93,4.2,1.03,0.79
ndwi_water_threshold,0.9,0.135,45.04,50.78,3.23,0.94,4.2,1.26,0.81
ndwi_water_threshold,1.0,0.15,45.04,50.79,3.25,0.93,4.2,1.26,0.79
ndwi_water_threshold,1.1,0.165,45.04,50.79,3.26,0.9,4.2,1.27,0.77
disturbance_threshold,0.9,0.081,45.04,50.79,3.25,0.93,4.78,1.26,0.78
disturbance_threshold,1.0,0.09,45.04,50.79,3.25,0.93,4.2,1.26,0.79
disturbance_threshold,1.1,0.099,45.04,50.79,3.25,0.93,3.65,1.26,0.8
