parameter,value,burn_severity_threshold,rri_good_threshold,rri_low_threshold,class0_uncertain_px,class1_recovering_well_px,class2_recovering_weak_px,class3_failed_px,class4_outside_assessment_px,total_forest_mask_px,burned_assessment_px,class0_uncertain_pct_total,class1_recovering_well_pct_total,class2_recovering_weak_pct_total,class3_failed_pct_total,class4_outside_assessment_pct_total,recovering_well_pct_burned,recovering_weak_pct_burned,failed_pct_burned,delta_recovering_well_pct_burned,delta_recovering_weak_pct_burned,delta_failed_pct_burned,delta_class4_outside_assessment_pct_total,delta_burned_assessment_px
baseline,0.0,0.1,0.8,0.3,0,19460,3236,251,25813,48760,22947,0.0,39.909762100082034,6.636587366694012,0.514766201804758,52.938884331419196,84.80411382751558,14.10206127162592,1.0938249008585,0.0,0.0,0.0,0.0,0
burn_severity_threshold,0.05,0.05,0.8,0.3,0,19591,5600,278,23291,48760,25469,0.0,40.17842493847416,11.484823625922887,0.5701394585726005,47.76661197703035,76.92096273901606,21.987514232989124,1.0915230279948172,-7.883151088499517,7.885452961363203,-0.0023018728636827746,-5.172272354388845,2522
burn_severity_threshold,0.075,0.075,0.8,0.3,0,19561,4093,269,24837,48760,23923,0.0,40.116899097621,8.394175553732568,0.551681706316653,50.937243642329776,81.76650085691594,17.10905822848305,1.1244409146010115,-3.037612970599639,3.0069969568571295,0.03061601374251155,-2.0016406890894203,976
burn_severity_threshold,0.1,0.1,0.8,0.3,0,19460,3236,251,25813,48760,22947,0.0,39.909762100082034,6.636587366694012,0.514766201804758,52.938884331419196,84.80411382751558,14.10206127162592,1.0938249008585,0.0,0.0,0.0,0.0,0
burn_severity_threshold,0.125,0.125,0.8,0.3,0,19308,2822,208,26423,48761,22338,0.0,39.59721908902607,5.7874120711224135,0.4265704148807449,54.18879842497078,86.43567015847435,12.633181126331811,0.9311487151938401,1.631556330958773,-1.4688801452941096,-0.1626761856646598,1.2499140935515811,-609
burn_severity_threshold,0.15,0.15,0.8,0.3,0,19145,2594,160,26861,48760,21899,0.0,39.26374077112387,5.319934372436423,0.3281378178835111,55.08818703855619,87.4240832914745,11.8452897392575,0.7306269692680031,2.619969463958924,-2.25677153236842,-0.36319793159049685,2.1493027071369966,-1048
rri_good_threshold,0.7,0.1,0.7,0.3,0,20621,2075,251,25813,48760,22947,0.0,42.29081214109926,4.2555373256767846,0.514766201804758,52.938884331419196,89.8635987275025,9.042576371638994,1.0938249008585,5.059484899986927,-5.059484899986927,0.0,0.0,0
rri_good_threshold,0.75,0.1,0.75,0.3,0,20170,2527,251,25813,48761,22948,0.0,41.36502532761838,5.182420376940588,0.5147556448801296,52.9377986505609,87.89436987972807,11.011852884782988,1.0937772354889315,3.0902560522124958,-3.0902083868429333,-4.766536956846146e-05,-0.0010856808582957456,1
rri_good_threshold,0.8,0.1,0.8,0.3,0,19460,3236,251,25813,48760,22947,0.0,39.909762100082034,6.636587366694012,0.514766201804758,52.938884331419196,84.80411382751558,14.10206127162592,1.0938249008585,0.0,0.0,0.0,0.0,0
rri_good_threshold,0.85,0.1,0.85,0.3,0,18458,4238,251,25813,48760,22947,0.0,37.85479901558654,8.6915504511895,0.514766201804758,52.938884331419196,80.4375299603434,18.4686451387981,1.0938249008585,-4.3665838671721815,4.366583867172178,0.0,0.0,0
rri_good_threshold,0.9,0.1,0.9,0.3,0,17033,5663,251,25813,48760,22947,0.0,34.93232157506153,11.61402789171452,0.514766201804758,52.938884331419196,74.22756787379613,24.67860722534536,1.0938249008585,-10.576545953719446,10.576545953719439,0.0,0.0,0
rri_low_threshold,0.2,0.1,0.8,0.2,0,19460,3309,178,25813,48760,22947,0.0,39.909762100082034,6.786300246103363,0.36505332239540605,52.938884331419196,84.80411382751558,14.420185645182377,0.7757005273020439,0.0,0.31812437355645606,-0.31812437355645606,0.0,0
rri_low_threshold,0.25,0.1,0.8,0.25,0,19460,3276,211,25813,48760,22947,0.0,39.909762100082034,6.71862182116489,0.43273174733388026,52.938884331419196,84.80411382751558,14.276375996862335,0.9195101756220857,0.0,0.1743147252364139,-0.17431472523641423,0.0,0
rri_low_threshold,0.3,0.1,0.8,0.3,0,19460,3236,251,25813,48760,22947,0.0,39.909762100082034,6.636587366694012,0.514766201804758,52.938884331419196,84.80411382751558,14.10206127162592,1.0938249008585,0.0,0.0,0.0,0.0,0
rri_low_threshold,0.35,0.1,0.8,0.35,0,19460,3177,310,25813,48760,22947,0.0,39.909762100082034,6.515586546349467,0.6357670221493027,52.938884331419196,84.80411382751558,13.84494705190221,1.3509391205822112,0.0,-0.25711421972371085,0.2571142197237113,0.0,0
rri_low_threshold,0.4,0.1,0.8,0.4,0,19460,3101,387,25813,48761,22948,0.0,39.90894362297738,6.359590656467259,0.7936670699944628,52.9377986505609,84.80041833710999,13.5131601882517,1.6864214746383126,-0.0036954904055903626,-0.5889010833742212,0.5925965737798127,-0.0010856808582957456,1
